subject_id,title,rating,genre,release_year,duration,summary,country,directors,detail_url,comment_len
1292000,搏击俱乐部,9.0,剧情 动作 悬疑 惊悚/布拉... 1999/美国,1999,0,,美国/剧情 动作 悬疑 惊悚,大卫·芬奇/David/Fincher,https://movie.douban.com/subject/1292000/,0
1306029,美丽心灵,9.1,传记 剧情/美国/艾德·哈... 2001,2001,0,,美国/传记 剧情,朗·霍华德/Ron/Howard,https://movie.douban.com/subject/1306029/,0
3008247,穿条纹睡衣的男孩,9.2,剧情 战争/英国 美国,2008,0,,英国 美国/剧情 战争,马克·赫尔曼/Mark/Herman,https://movie.douban.com/subject/3008247/,0
1292220,情书,8.9,剧情 爱情/日本,1995,0,,日本/剧情 爱情,岩井俊二/Shunji/Iwai,https://movie.douban.com/subject/1292220/,0
3011235,哈利·波特与死亡圣器(下),9.0,奇幻 冒险/美国 英国,2011,0,,美国 英国/奇幻 冒险,大卫·叶茨/David/Yates,https://movie.douban.com/subject/3011235/,0
1293350,两杆大烟枪,9.1,剧情 喜剧 犯罪/德克斯特... 1998/英国,1998,0,,英国/剧情 喜剧 犯罪,盖·里奇/Guy/Ritchie,https://movie.douban.com/subject/1293350/,0
1900841,窃听风暴,9.2,剧情 悬疑/德国,2006,0,,德国/剧情 悬疑,弗洛里安·亨克尔·冯·多纳斯马尔克/Florian/Henckel,https://movie.douban.com/subject/1900841/,0
1294408,音乐之声,9.1,克... 1965/剧情 传记 爱情 歌舞/美国,1965,0,,美国/剧情 传记 爱情 歌舞,罗伯特·怀斯/Robert/Wise,https://movie.douban.com/subject/1294408/,0
1291543,功夫,8.9,... 2004/中国大陆 中国香港/元秋 Qiu Yuen/动作 喜剧 犯罪 奇幻,2004,0,,元秋 Qiu Yuen/中国大陆 中国香港/动作 喜剧 犯罪 奇幻,周星驰/Stephen/Chow,https://movie.douban.com/subject/1291543/,0
1291544,哈利·波特与阿兹卡班的囚徒,9.0,奇幻 冒险/英国 美国,2004,0,,英国 美国/奇幻 冒险,阿方索·卡隆/Alfonso/Cuarón,https://movie.douban.com/subject/1291544/,0
1292402,西西里的美丽传说,8.9,剧情 战争 情色/意大利 美国,2000,0,,意大利 美国/剧情 战争 情色,朱塞佩·托纳多雷/Giuseppe/Tornatore,https://movie.douban.com/subject/1292402/,0
1652587,阿凡达,8.8,动作 科幻 冒险/美国,2009,0,,美国/动作 科幻 冒险,詹姆斯·卡梅隆/James/Cameron,https://movie.douban.com/subject/1652587/,0
26580232,看不见的客人,8.8,剧情 犯罪 悬疑 惊悚/西班牙/阿... 2016,2016,0,,西班牙/剧情 犯罪 悬疑 惊悚,奥里奥尔·保罗/Oriol/Paulo,https://movie.douban.com/subject/26580232/,0
1292849,拯救大兵瑞恩,9.1,剧情 战争/美国,1998,0,,美国/剧情 战争,史蒂文·斯皮尔伯格/Steven/Spielberg,https://movie.douban.com/subject/1292849/,0
1293544,沉默的羔羊,8.9,剧情 犯罪 惊悚/安... 1991/美国,1991,0,,美国/剧情 犯罪 惊悚,乔纳森·戴米/Jonathan/Demme,https://movie.douban.com/subject/1293544/,0
1303021,小鞋子,9.2,伊朗/剧情 儿童 家庭,1997,0,,伊朗/剧情 儿童 家庭,马基德·马基迪/Majid/Majidi,https://movie.douban.com/subject/1303021/,0
11525673,布达佩斯大饭店,8.9,... 2014/剧情 喜剧 冒险/美国 德国 英国,2014,0,,美国 德国 英国/剧情 喜剧 冒险,韦斯·安德森/Wes/Anderson,https://movie.douban.com/subject/11525673/,0
1292343,蝴蝶效应,8.9,剧情 悬疑 科幻 惊悚/美国 加拿大,2004,0,,美国 加拿大/剧情 悬疑 科幻 惊悚,,https://movie.douban.com/subject/1292343/,0
1292224,飞越疯人院,9.1,剧情/美国,1975,0,,美国/剧情,米洛斯·福尔曼/Miloš/Forman,https://movie.douban.com/subject/1292224/,0
2334904,禁闭岛,8.9,... 2010/剧情 悬疑 惊悚/美国,2010,0,,美国/剧情 悬疑 惊悚,Martin/Scorsese,https://movie.douban.com/subject/2334904/,0
36445098,还有明天,9.3,剧情 喜剧 历史/意大利,2023,0,,意大利/剧情 喜剧 历史,宝拉·柯特莱西/Paola/Cortellesi,https://movie.douban.com/subject/36445098/,0
1292656,心灵捕手,9.0,剧情/罗宾·... 1997/美国,1997,0,,美国/剧情,格斯·范·桑特/Gus/Van,https://movie.douban.com/subject/1292656/,0
1780330,致命魔术,8.9,剧情 悬疑 惊悚/英国 美国,2006,0,,英国 美国/剧情 悬疑 惊悚,克里斯托弗·诺兰/Christopher/Nolan,https://movie.douban.com/subject/1780330/,0
1291832,低俗小说,8.9,剧情 喜剧 犯罪/美国,1994,0,,美国/剧情 喜剧 犯罪,昆汀·塔伦蒂诺/Quentin/Tarantino,https://movie.douban.com/subject/1291832/,0
5322596,超脱,9.0,剧情/美国/马西... 2011,2011,0,,美国/剧情,托尼·凯耶/Tony/Kaye,https://movie.douban.com/subject/5322596/,0
